"","yardline_100","quarter_seconds_remaining","goal_to_go","ydstogo","ydsnet","yards_gained","shotgun","no_huddle","air_yards","yards_after_catch","score_differential","first_down_pass","interception","jax_score","opp_score","jax_timeouts_remaining","opp_timeouts_remaining","side_of_field_MID","side_of_field_OPP","qtr_2","qtr_3","qtr_4","down_2","down_3","down_4","pass_length_short","pass_location_middle","pass_location_right","td_team_1","td_team_2"
"310",0.257731958762887,0.125835189309577,0,0.272727272727273,0.836538461538462,0.188888888888889,1,0,0.32258064516129,0.0340909090909091,0.207547169811321,1,0,0.184210526315789,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0
"313",0.577319587628866,0.795100222717149,0,0.272727272727273,0.625,0.222222222222222,0,0,0.370967741935484,0.0340909090909091,0.339622641509434,1,0,0.184210526315789,0.155555555555556,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0
"315",0.876288659793814,0.316258351893096,0,0.454545454545455,0.144230769230769,0.177777777777778,1,0,0.258064516129032,0.0681818181818182,0.39622641509434,0,0,0.184210526315789,0.222222222222222,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0
"324",0.783505154639175,0.99554565701559,0,0.272727272727273,0.846153846153846,0.177777777777778,1,0,0.241935483870968,0.0795454545454545,0.39622641509434,1,0,0.184210526315789,0.222222222222222,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0
"326",0.45360824742268,0.791759465478842,0,0.272727272727273,0.846153846153846,0.255555555555556,0,0,0.419354838709677,0.0340909090909091,0.39622641509434,1,0,0.184210526315789,0.222222222222222,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"327",0,0.592427616926503,1,0,0.846153846153846,0.0777777777777778,0,0,0.161290322580645,0.0340909090909091,0.39622641509434,1,0,0.184210526315789,0.355555555555556,1,0.666666666666667,0,0,0,1,0,0,0,1,1,0,1,0,1
"328",0.381443298969072,0.214922048997773,0,0.272727272727273,0.644230769230769,0.277777777777778,1,0,0.145161290322581,0.25,0.528301886792453,1,0,0.184210526315789,0.377777777777778,1,0.666666666666667,0,0,0,1,0,0,0,0,1,0,0,0,0
"334",0.639175257731959,0.217149220489978,0,0.272727272727273,0.548076923076923,0.277777777777778,0,1,0.258064516129032,0.170454545454545,0.339622641509434,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0
"336",0.257731958762887,0.0801781737193764,0,0.424242424242424,0.548076923076923,0.244444444444444,1,0,0.129032258064516,0.227272727272727,0.339622641509434,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"345",0,0.884187082405345,1,0,0.721153846153846,0.0777777777777778,0,0,0.161290322580645,0.0340909090909091,0.415094339622642,1,0,0.0789473684210526,0.288888888888889,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1
"347",0.680412371134021,0.114699331848552,0,0.0303030303030303,0.403846153846154,0.222222222222222,0,0,0.338709677419355,0.0568181818181818,0.792452830188679,1,0,0.289473684210526,0.777777777777778,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0
"348",0.402061855670103,0.788418708240535,0,0.272727272727273,0.490384615384615,0.233333333333333,0,0,0.145161290322581,0.204545454545455,0.679245283018868,1,0,0.447368421052632,0.777777777777778,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0
"350",0.711340206185567,0.955456570155902,0,0.121212121212121,0.432692307692308,0.244444444444444,1,0,0.32258064516129,0.0909090909090909,0.339622641509434,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0
"353",0.474226804123711,0.848552338530067,0,0.0606060606060606,0.432692307692308,0.144444444444444,1,0,0.225806451612903,0.0568181818181818,0.339622641509434,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0
"354",0.45360824742268,0.685968819599109,0,0.606060606060606,0.432692307692308,0.177777777777778,1,0,0.306451612903226,0.0340909090909091,0.339622641509434,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0
"358",0.536082474226804,0.251670378619154,0,0.242424242424242,0.769230769230769,0.211111111111111,1,0,0.354838709677419,0.0340909090909091,0.339622641509434,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0
"367",0.22680412371134,0.0857461024498886,0,0.242424242424242,0.557692307692308,0.2,1,0,0.161290322580645,0.159090909090909,0.716981132075472,1,0,0,0.444444444444444,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0
"374",0.618556701030928,0.814031180400891,0,0.303030303030303,0.336538461538462,0.177777777777778,1,0,0.306451612903226,0.0340909090909091,0.773584905660377,0,0,0,0.511111111111111,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0
"391",0.22680412371134,0.437639198218263,0,0.212121212121212,0.826923076923077,0.277777777777778,1,0,0.0645161290322581,0.306818181818182,0.415094339622642,1,0,0.0789473684210526,0.155555555555556,1,0.666666666666667,0,0,1,0,0,1,0,0,1,0,0,0,0
"396",0.350515463917526,0.0356347438752784,0,0.0303030303030303,0.653846153846154,0.155555555555556,1,0,0.145161290322581,0.125,0.679245283018868,1,0,0.0789473684210526,0.466666666666667,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"401",0.742268041237113,0.375278396436526,0,0.272727272727273,0.807692307692308,0.277777777777778,0,0,0.338709677419355,0.113636363636364,0.735849056603774,1,0,0.263157894736842,0.688888888888889,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0
"402",0.536082474226804,0.282850779510022,0,0.242424242424242,0.807692307692308,0.233333333333333,1,0,0.306451612903226,0.0909090909090909,0.735849056603774,1,0,0.263157894736842,0.688888888888889,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0
"408",0.65979381443299,0.26837416481069,0,0.303030303030303,0.480769230769231,0.222222222222222,1,0,0.129032258064516,0.204545454545455,1,1,0,0.263157894736842,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0
